% 1. Title: 2015 NCAA Basketball Season
%
% 2. Sources:
%      (a) Creator: Reed Wilson
%      (b) Date: March 9, 2015

@relation 2015

@attribute location                           { h, a, n }
@attribute points_for                         real
@attribute points_against                     real
@attribute field_goal_percent                 real
@attribute free_throw_percent                 real
@attribute three_point_percent                real
@attribute efficient_field_goal_percent       real
@attribute points_per_weighted_shot           real
@attribute turnover_rate                      real
@attribute blocks                             real
@attribute fouls                              real
@attribute offensive_rebounds                 real
@attribute total_rebounds                     real
@attribute steals                             real
@attribute assists                            real
@attribute possessions                        real
@attribute offensive_points_per_possession    real
@attribute defensive_points_per_possession    real
@attribute outcome                            { w, l }

@data
a,46,67,26.6,71.4,28.0,32.0,0.68,15.2,3,22,6,23,7,10,72,0.64,0.95,l
a,41,75,27.8,40.0,30.4,34.3,0.70,18.1,4,17,9,24,5,10,61,0.68,1.16,l
h,80,72,43.6,80.6,36.8,50.0,1.15,12.7,1,19,8,31,6,16,71,1.13,0.97,w
a,79,67,55.3,60.0,52.9,64.9,1.29,15.6,7,21,7,26,7,17,64,1.23,0.93,w
n,71,63,40.0,72.4,30.0,45.5,1.03,10.8,3,20,11,38,2,15,65,1.10,0.95,w
a,70,77,38.6,78.9,36.7,48.2,1.06,20.8,8,25,9,30,4,12,72,0.97,1.03,l
a,70,79,50.0,85.2,38.9,58.8,1.33,29.1,4,22,4,26,4,10,69,1.02,1.15,l
h,67,68,52.3,63.6,46.7,60.2,1.23,24.1,1,20,4,28,5,11,66,1.01,1.01,l
a,67,73,41.8,77.8,38.9,48.2,1.05,19.5,2,28,10,29,7,11,67,1.01,1.09,l
h,67,54,42.2,75.0,33.3,47.8,1.11,21.8,3,21,10,29,10,12,64,1.04,0.81,w
a,66,77,45.1,76.9,45.5,54.9,1.15,10.5,1,17,6,20,1,11,57,1.15,1.33,l
h,66,72,42.3,85.0,33.3,47.1,1.07,23.4,11,20,6,33,5,6,73,0.91,0.95,l
a,65,72,38.0,88.9,45.8,49.0,1.11,17.9,2,21,8,22,8,14,62,1.06,1.18,l
h,61,73,35.3,58.3,21.4,39.7,0.83,10.5,4,16,14,34,4,14,67,0.92,1.06,l
h,60,74,41.7,71.4,47.6,52.1,1.10,26.7,3,18,8,25,4,9,64,0.94,1.22,l
h,60,54,38.5,75.0,23.1,42.3,1.07,21.8,5,17,6,33,5,8,64,0.94,0.87,w
n,59,61,34.5,63.0,23.5,38.2,0.87,14.3,4,23,8,29,5,8,70,0.85,0.90,l
h,59,60,38.9,62.5,33.3,45.4,0.96,14.9,2,20,10,25,4,12,61,0.97,0.99,l
h,59,60,38.9,83.3,30.4,45.4,0.99,20.1,2,17,8,29,6,12,65,0.91,0.93,l
a,59,109,41.5,76.5,14.3,43.4,0.97,23.3,1,20,5,18,4,9,73,0.81,1.45,l
a,58,69,37.8,80.0,42.1,46.7,1.06,23.1,1,23,8,26,3,7,61,0.96,1.19,l
a,58,74,42.6,66.7,28.6,48.1,1.00,17.4,2,14,6,23,2,14,63,0.92,1.26,l
h,57,72,34.8,75.0,16.1,38.6,0.82,13.5,1,12,12,34,4,12,67,0.85,1.09,l
h,57,43,42.5,81.8,38.5,48.8,1.13,19.4,8,13,9,29,3,9,51,1.11,0.79,w
a,56,57,39.2,50.0,42.3,50.0,1.00,19.8,8,17,7,30,5,13,61,0.92,0.89,l
a,56,52,34.5,63.6,28.6,38.2,0.86,15.2,6,23,4,27,10,6,72,0.77,0.76,w
h,53,55,38.0,71.4,34.5,48.0,0.99,16.9,4,21,4,24,4,14,59,0.89,0.92,l
a,52,54,33.3,50.0,40.9,41.7,0.86,19.2,1,23,10,37,9,9,63,0.83,0.83,l
h,50,64,36.2,52.0,21.4,39.4,0.85,24.7,1,16,10,30,5,10,65,0.77,1.00,l
a,48,57,35.1,75.0,29.4,39.5,0.81,25.4,6,18,9,33,4,7,67,0.72,0.88,l
h,46,62,31.5,75.0,12.0,34.3,0.77,16.8,1,20,10,34,4,10,60,0.77,1.00,l
h,36,54,23.1,66.7,15.4,25.6,0.71,26.5,1,11,6,28,6,3,60,0.60,0.89,l
n,33,63,22.7,66.7,15.0,26.1,0.65,21.4,5,15,7,20,4,3,56,0.59,1.11,l
h,87,82,49.2,88.0,43.8,55.1,1.23,18.5,2,24,9,25,3,18,76,1.15,1.14,w
h,86,55,41.2,82.4,24.0,45.0,0.98,2.9,6,16,20,49,6,14,70,1.23,0.77,w
h,85,83,40.6,72.7,31.2,44.2,1.00,17.5,5,29,14,40,10,11,86,0.99,0.94,w
a,84,97,41.3,60.0,43.3,50.0,1.02,14.8,3,21,19,32,12,14,74,1.13,1.30,l
h,83,49,45.9,60.0,41.4,55.7,1.14,24.7,4,20,18,39,14,22,73,1.14,0.00,w
h,83,79,35.6,75.0,33.3,39.8,1.01,18.8,0,26,17,47,7,6,80,1.04,1.05,w
a,82,68,50.0,83.9,22.2,53.8,1.23,31.7,2,22,15,39,5,10,76,1.08,0.87,w
a,81,82,50.8,52.9,52.6,59.0,1.17,25.3,1,23,10,29,7,19,79,1.02,1.05,l
h,75,64,44.4,63.2,35.0,50.0,1.04,14.3,3,24,12,42,7,11,70,1.07,0.86,w
a,75,86,50.9,63.6,38.5,55.5,1.15,23.1,2,25,9,30,6,10,73,1.02,1.18,l
h,73,77,40.4,73.9,52.6,49.1,1.07,23.3,1,24,12,31,7,14,73,1.00,1.12,l
a,73,81,38.1,60.7,40.0,44.4,0.96,17.0,2,24,13,34,5,13,76,0.96,1.05,l
a,71,93,43.8,69.2,22.2,48.4,1.01,21.7,1,33,9,29,9,18,78,0.91,1.19,l
h,71,76,43.6,65.4,28.6,49.1,1.05,10.6,4,23,8,33,7,10,66,1.07,1.13,l
a,68,91,41.4,89.5,23.1,44.0,1.01,21.4,1,20,12,29,8,12,70,0.97,1.28,l
a,68,85,47.3,61.9,18.8,50.0,1.05,16.2,1,22,8,25,5,8,68,1.00,1.28,l
a,66,83,47.2,69.2,41.2,53.8,1.12,21.8,3,26,9,27,1,9,64,1.03,1.32,l
h,66,74,32.8,66.7,24.2,39.1,0.88,11.5,3,23,14,34,4,12,69,0.95,1.10,l
h,65,66,37.5,70.0,15.0,39.8,0.88,15.2,4,21,12,40,8,8,73,0.90,0.90,l
h,64,61,44.4,62.5,30.0,50.0,1.04,16.5,3,23,11,22,7,10,61,1.06,1.01,w
a,64,74,37.7,65.0,33.3,41.8,0.91,11.9,4,13,11,30,6,9,68,0.95,1.17,l
h,63,58,45.7,86.7,44.4,54.3,1.19,29.0,2,14,9,31,5,9,62,1.01,0.92,w
a,60,47,41.3,75.0,20.0,42.9,0.90,24.0,3,24,16,41,5,11,67,0.90,0.69,w
a,59,91,31.1,70.0,36.8,36.9,0.84,26.2,0,17,17,36,3,6,73,0.81,1.36,l
a,56,70,41.1,50.0,35.7,45.5,0.92,19.1,2,19,10,24,6,7,63,0.89,1.21,l
h,51,66,26.3,76.0,18.2,28.1,0.74,18.9,3,24,13,33,8,7,69,0.74,1.00,l
